index,energy_MAE,force_MAE,stress_MAE,,,,,,,,,
1,0.054273967,0.233012341,0.026375463,,,,,,,,,
2,0.039808995,0.193729081,0.013281796,,,,,,,,,
3,0.05442963,0.211963293,0.022749608,,,,,,,,,
4,0.033070768,0.220789104,0.01590147,,,,,,,,,
5,0.053411753,0.197393283,0.021115418,,,,,,,,,
6,0.049770175,0.190153639,0.022258577,,,,,,,,,
7,0.048111947,0.200463176,0.019606191,,,,,,,,,
8,0.047909158,0.192787152,0.021549491,,,,,,,,,
9,0.04265928,0.184625759,0.021072323,,,,,,,,,
10,0.044973579,0.203549333,0.020447206,,,,,,,,,
11,0.051146571,0.218480908,0.020994586,,,,,,,,,
12,0.050857229,0.193704759,0.023363399,,,,,,,,,
13,0.03791695,0.189880963,0.019984946,,,,,,,,,
14,0.048010337,0.176812935,0.025091171,,,,,,,,,
15,0.037390541,0.205199016,0.018533526,,,,,,,,,
16,0.054780849,0.171000755,0.022010003,,,,,,,,,
17,0.045933149,0.191772126,0.01622068,,,,,,,,,
18,0.063723981,0.20718637,0.024668536,,,,,,,,,
19,0.057336174,0.222482143,0.016907915,,,,,,,,,
20,0.056309631,0.221809836,0.021550381,,,,,,,,,
21,0.052386498,0.219141812,0.023094471,,,,,,,,,
22,0.049491201,0.189150533,0.01816729,,,,,,,,,
23,0.040827684,0.157326581,0.020222249,,,,,,,,,
24,0.052708371,0.198148794,0.020135134,,,,,,,,,
25,0.067377644,0.251409629,0.022601317,,,,,,,,,
26,0.065532761,0.207236372,0.027024476,,,,,,,,,
27,0.038456776,0.197756669,0.015821361,,,,,,,,,
28,0.049304563,0.245885131,0.022176578,,,,,,,,,
29,0.03946413,0.188088666,0.022164305,,,,,,,,,
30,0.053370274,0.223900356,0.022734567,,,,,,,,,
31,0.046467842,0.211394269,0.020916853,,,,,,,,,
32,0.054966777,0.22080872,0.017394518,,,,,,,,,
33,0.056357758,0.220305372,0.019469597,,,,,,,,,
34,0.068704097,0.20588293,0.024257023,,,,,,,,,
35,0.055829498,0.209053487,0.018294486,,,,,,,,,
36,0.075645165,0.228266575,0.023368694,,,,,,,,,
37,0.073094677,0.24932238,0.024563226,,,,,,,,,
38,0.068881229,0.203861579,0.021817669,,,,,,,,,
39,0.052971949,0.195802431,0.014425383,,,,,,,,,
40,0.052815867,0.206255004,0.016799589,,,,,,,,,
41,0.064683848,0.190493322,0.020752322,,,,,,,,,
42,0.063134759,0.22374518,0.021885918,,,,,,,,,
43,0.055653171,0.189185839,0.021056765,,,,,,,,,
44,0.064384979,0.210710875,0.020864827,,,,,,,,,
45,0.059137607,0.21975122,0.024109491,,,,,,,,,
46,0.055539539,0.23111449,0.022219531,,,,,,,,,
47,0.044125906,0.192523419,0.018127502,,,,,,,,,
48,0.058573097,0.23978723,0.018387651,,,,,,,,,
49,0.049077534,0.231102227,0.020447562,,,,,,,,,
50,0.053848855,0.226747405,0.020771095,,,,,,,,,
