index,energy_MAE,force_MAE,stress_MAE,,,,,,,,,
1,0.006881108,0.082737455,0.002243997,,,,,,,,,
2,0.004194941,0.073381971,0.002652892,,,,,,,,,
3,0.001571587,0.087181313,0.002095511,,,,,,,,,
4,0.007473701,0.068684116,0.002256282,,,,,,,,,
5,0.005470267,0.077212238,0.002061127,,,,,,,,,
6,0.00575638,0.079084674,0.00198555,,,,,,,,,
7,0.004869167,0.068728722,0.001177218,,,,,,,,,
8,0.005169862,0.072624762,0.001475579,,,,,,,,,
9,0.007602726,0.064887058,0.001256811,,,,,,,,,
10,0.005562816,0.052727775,0.001507027,,,,,,,,,
11,0.004071383,0.072175461,0.002412186,,,,,,,,,
12,0.005155336,0.07383477,0.00179943,,,,,,,,,
13,0.00551191,0.057506102,0.002592581,,,,,,,,,
14,0.007617006,0.065931562,0.001991825,,,,,,,,,
15,0.009818209,0.060079088,0.00126184,,,,,,,,,
16,0.00409511,0.076847293,0.002529024,,,,,,,,,
17,0.000555374,0.063606293,0.001770769,,,,,,,,,
18,0.002813632,0.077068827,0.002587416,,,,,,,,,
19,0.003279458,0.066822989,0.002269227,,,,,,,,,
20,0.000190225,0.07427643,0.003325929,,,,,,,,,
21,0.002770023,0.068008126,0.002934529,,,,,,,,,
22,0.001121467,0.063887769,0.001886969,,,,,,,,,
23,0.007885487,0.062916827,0.002526777,,,,,,,,,
24,0.004951377,0.061710931,0.001732784,,,,,,,,,
25,0.005115285,0.071665789,0.001493805,,,,,,,,,
26,0.003265619,0.061093543,0.001577243,,,,,,,,,
27,0.002741856,0.064232322,0.000964439,,,,,,,,,
28,0.004273331,0.06720275,0.001693413,,,,,,,,,
29,0.006551526,0.060788019,0.001533147,,,,,,,,,
30,0.003963078,0.061470751,0.000634165,,,,,,,,,
31,0.005245113,0.064248172,0.00100049,,,,,,,,,
32,0.001524598,0.062676431,0.001828122,,,,,,,,,
33,0.003711609,0.064116427,0.001456742,,,,,,,,,
34,0.002425002,0.065521596,0.002352461,,,,,,,,,
35,0.006740168,0.063972853,0.001939994,,,,,,,,,
36,0.002013488,0.071170944,0.000938938,,,,,,,,,
37,0.0045621,0.065521704,0.001059859,,,,,,,,,
38,0.00025166,0.062232348,0.001581693,,,,,,,,,
39,0.000605796,0.065580073,0.001483481,,,,,,,,,
40,0.005288566,0.060620375,0.00158225,,,,,,,,,
41,0.002231745,0.063458989,0.002255911,,,,,,,,,
42,0.003676648,0.06731321,0.001745942,,,,,,,,,
43,0.000938721,0.069415966,0.002891975,,,,,,,,,
44,0.002017241,0.071004209,0.002494512,,,,,,,,,
45,0.005449697,0.063793549,0.001498395,,,,,,,,,
46,0.000851013,0.072744562,0.00190384,,,,,,,,,
47,0.002019903,0.05912378,0.00223749,,,,,,,,,
48,0.000296787,0.071576409,0.001409192,,,,,,,,,
49,0.002099743,0.08387133,0.003798514,,,,,,,,,
50,0.002133204,0.068421614,0.002205078,,,,,,,,,
