index,name,n_atoms,DFT_energy_pa,NEP_energy_pa,energy_residual,energy_MAE,force_MAE,force_RMSE,force_max_err,stress_MAE,stress_RMSE,stress_normal_MAE,stress_normal_RMSE,stress_res_xx,stress_res_yy,stress_res_zz,stress_res_yz,stress_res_xz,stress_res_xy
0,test##000000,70,-8.591251548857143,-8.676771263309076,-0.08551971445193374,0.08551971445193374,0.20343398992016817,0.24354432381366845,0.5310197547078133,0.03914388652727515,0.05571445312764814,0.07685674559616018,0.07875338652667421,0.09123480867128819,0.052707221868331544,0.0866282062488608,-2.5677522899059113e-06,-0.004279477445379598,1.103717750083888e-05
1,test##000001,70,-8.591261363285714,-8.676404093415098,-0.08514273012938389,0.08514273012938389,0.20323958725342284,0.24350717563417354,0.5333021597471088,0.03897203715844929,0.05543256911953422,0.07644182229220557,0.07835362412987362,0.09080157495918684,0.05225443420931697,0.0862694577081129,-2.015564859902952e-06,-0.004326101759033918,0.00017863875018520048
2,test##000002,70,-8.591270166714285,-8.676497692782075,-0.08522752606778994,0.08522752606778994,0.20320512806559107,0.24344067274683373,0.5354647441745328,0.03880978386029691,0.05523915259968179,0.0761613590681615,0.07808138295935792,0.09050409041810781,0.051962393219582736,0.08601759356679395,-2.5399037610895903e-06,-0.004249924123996607,0.0001221619295392884
3,test##000003,70,-8.591275616999999,-8.676671699147564,-0.08539608214756456,0.08539608214756456,0.20312839443472297,0.24332951065850544,0.5396466380916536,0.038728423234961916,0.0551710122495499,0.07607556295503552,0.07798754230483144,0.09035247983410954,0.05193782667629421,0.0859363823547028,8.491869039062294e-07,-0.0041075582357734675,3.544312198755506e-05
4,test##000004,70,-8.591276591714285,-8.677072376689633,-0.0857957849753479,0.0857957849753479,0.2032156893107575,0.2433548958377392,0.5399906118400395,0.039119137166721885,0.055710721141873275,0.07688757233942549,0.0787525332793455,0.09112182806711644,0.052934959647245705,0.08660592930391431,2.843387392204022e-08,-0.004027605774354015,2.4471773826917342e-05
5,test##000005,70,-8.591277067142858,-8.676853754638607,-0.08557668749574887,0.08557668749574887,0.2030918995734932,0.2432995582192708,0.5389488423243165,0.039093330108575707,0.055665766770615306,0.07681755063822493,0.07868823269902979,0.09105373991769738,0.052836745511740446,0.08656216648523696,1.1669138757497421e-06,-0.0040681939670434986,3.796785586018814e-05
6,test##000006,70,-8.591281670999999,-8.67668224787165,-0.08540057687165081,0.08540057687165081,0.20316864939467494,0.24333533603672078,0.5385604673065245,0.03889811229923623,0.055401359115215494,0.07643109789933078,0.07831421416047853,0.09066455741412938,0.05242763983551413,0.08620109644834884,-3.432651567436551e-07,-0.0040637610493377,3.127578293060651e-05
7,test##000007,70,-8.591282027714286,-8.676631567571823,-0.08534953985753724,0.08534953985753724,0.20319874647127237,0.24332661562317157,0.5382175454869866,0.03891150026431944,0.05541527183991224,0.0764557551034765,0.0783339300821334,0.09066993760643527,0.052480026315606665,0.08621730138838757,5.016670172608428e-07,-0.004061866829033534,3.936777943636116e-05
8,test##000008,69,-8.584872362898551,-8.665861757188475,-0.08098939428992402,0.08098939428992402,0.1535060056504568,0.20085563504312046,0.5521141197532415,0.037581352906272514,0.05267664657723368,0.07348742410734606,0.0744503051030407,0.08094654986052774,0.05664524424355477,0.08287047821795568,0.0003158389445161447,0.004504298856772948,0.00020570731430780143
9,test##000009,70,-8.591283295857142,-8.676645158151464,-0.08536186229432197,0.08536186229432197,0.20323627907431122,0.2433621169686562,0.5381028533447534,0.039052045010635084,0.055611198216410425,0.07674732448261541,0.07861171090319458,0.09092808682180475,0.052814930415479466,0.08649895621056203,3.341798446854227e-07,-0.004028299027595494,4.166340852407302e-05
