rank,source,source_idx,n_effective_envs_in_structure,pass,new_gain,covered,uncovered,coverage_pct
1,large_file,4021,91,rare,57,57,23574,0.2412085819474419
2,large_file,4278,93,rare,53,110,23521,0.4654902458634844
3,large_file,4427,94,rare,52,162,23469,0.6855401802716771
4,large_file,4112,92,rare,51,213,23418,0.9013583851720198
5,large_file,3935,90,rare,50,263,23368,1.1129448605645127
6,large_file,4082,92,rare,50,313,23318,1.3245313359570057
7,large_file,4027,92,rare,49,362,23269,1.5318860818416487
8,large_file,4095,90,rare,49,411,23220,1.7392408277262916
9,large_file,4588,92,rare,49,460,23171,1.9465955736109348
10,large_file,4022,94,rare,48,508,23123,2.149718589987728
11,large_file,4115,93,rare,48,556,23075,2.352841606364521
12,large_file,3994,91,rare,47,603,23028,2.5517328932334644
13,large_file,4229,89,rare,47,650,22981,2.750624180102408
14,large_file,3953,91,rare,46,696,22935,2.9452837374635013
15,large_file,4124,89,rare,46,742,22889,3.1399432948245947
16,large_file,3988,91,rare,45,787,22844,3.3303711226778385
17,large_file,3992,92,rare,45,832,22799,3.520798950531082
18,large_file,4023,92,rare,45,877,22754,3.711226778384326
19,large_file,4276,94,rare,45,922,22709,3.901654606237569
20,large_file,3972,89,rare,44,966,22665,4.087850704582963
21,large_file,4130,89,rare,44,1010,22621,4.274046802928357
22,large_file,4151,91,rare,44,1054,22577,4.460242901273751
23,large_file,4167,92,rare,44,1098,22533,4.646438999619145
24,large_file,4262,90,rare,44,1142,22489,4.8326350979645385
25,large_file,4074,91,rare,43,1185,22446,5.014599466802082
26,large_file,4402,86,rare,43,1228,22403,5.196563835639626
27,large_file,4534,91,rare,43,1271,22360,5.37852820447717
28,large_file,4662,86,rare,43,1314,22317,5.560492573314714
29,large_file,4075,92,rare,42,1356,22275,5.738225212644408
30,large_file,4211,88,rare,42,1398,22233,5.915957851974102
31,large_file,4042,86,rare,41,1439,22192,6.089458761795946
32,large_file,4060,89,rare,41,1480,22151,6.26295967161779
33,large_file,4166,90,rare,41,1521,22110,6.4364605814396345
34,large_file,4232,89,rare,41,1562,22069,6.609961491261479
35,large_file,4047,85,rare,40,1602,22029,6.779230671575473
36,large_file,4207,93,rare,40,1642,21989,6.948499851889467
37,large_file,4221,93,rare,40,1682,21949,7.117769032203461
38,large_file,4348,88,rare,40,1722,21909,7.287038212517456
39,large_file,4386,87,rare,40,1762,21869,7.45630739283145
40,large_file,4054,91,rare,39,1801,21830,7.621344843637595
41,large_file,4322,94,rare,39,1840,21791,7.786382294443739
42,large_file,4368,84,rare,39,1879,21752,7.951419745249884
43,large_file,4407,90,rare,39,1918,21713,8.116457196056029
44,large_file,4012,91,rare,38,1956,21675,8.277262917354323
45,large_file,4044,86,rare,38,1994,21637,8.438068638652616
46,large_file,4164,89,rare,38,2032,21599,8.598874359950912
47,large_file,4192,92,rare,38,2070,21561,8.759680081249206
48,large_file,4193,88,rare,38,2108,21523,8.920485802547502
49,large_file,4049,88,rare,37,2145,21486,9.077059794337947
50,large_file,4263,91,rare,37,2182,21449,9.23363378612839
51,large_file,4080,91,rare,36,2218,21413,9.385976048410985
52,large_file,4104,92,rare,36,2254,21377,9.53831831069358
53,large_file,4177,88,rare,36,2290,21341,9.690660572976176
54,large_file,4577,92,rare,36,2326,21305,9.84300283525877
55,large_file,3975,86,rare,35,2361,21270,9.991113368033515
56,large_file,4025,90,rare,35,2396,21235,10.139223900808261
57,large_file,4132,85,rare,35,2431,21200,10.287334433583005
58,large_file,4140,90,rare,35,2466,21165,10.43544496635775
59,large_file,4186,86,rare,35,2501,21130,10.583555499132496
60,large_file,4209,88,rare,35,2536,21095,10.73166603190724
61,large_file,4244,89,rare,35,2571,21060,10.879776564681986
62,large_file,4312,89,rare,35,2606,21025,11.02788709745673
63,large_file,8818,127,rare,35,2641,20990,11.175997630231475
64,large_file,15146,86,rare,35,2676,20955,11.32410816300622
65,large_file,3973,84,rare,34,2710,20921,11.467986966273116
66,large_file,4202,86,rare,34,2744,20887,11.61186576954001
67,large_file,4210,85,rare,34,2778,20853,11.755744572806906
