key,value
mode,single_set_initial_training
enabled,True
target_envs,36228
candidate_structures_with_envs,18826
selected_structures,3573
covered_envs,36206
uncovered_envs,22
coverage_pct,99.93927349011814
budget,0
target_coverage_pct,100.0
two_tier_cover_enabled,True
prune_redundant_removed,46
post_cover_jaccard_removed,0
output_xyz,initial_training_selected.xyz
manifest_csv,initial_training_manifest.csv
n_rare_target,23631
n_common_target,12597
rare_candidates_before_dedup,6730
common_candidates_before_dedup,15276
rare_selected,3550
common_selected,69
total_selected,3619
covered_rare,23631
covered_common,12575
covered_total,36206
coverage_rare_pct,100.0
coverage_common_pct,99.8253552433119
coverage_total_pct,99.93927349011814
rare_freq_threshold,5
common_env_coverage_pct_target,85.0
