effective_type,x,y,covered_before,covered_by_selected,covered_after
r2.7:C:cn10:CCCCFeFeFeFeFeFe:sim00001,-0.092049167,-0.27435416,0,1,1
r2.7:C:cn10:CCCCFeFeFeFeFeFe:sim00005,-0.09194003,-0.26616341,0,1,1
r2.7:C:cn10:CCCFeFeFeFeFeFeFe:sim00002,-0.019303799,-0.18774016,0,1,1
r2.7:C:cn10:CCCFeFeFeFeFeFeFe:sim00006,-0.039061494,-0.17328429,0,1,1
r2.7:C:cn10:CCCFeFeFeFeFeFeFe:sim00010,-0.05430923,-0.18021773,0,1,1
r2.7:C:cn10:CCFeFeFeFeFeFeFeFe:sim00003,0.0031621624,-0.098405369,0,1,1
r2.7:C:cn10:CCFeFeFeFeFeFeFeFe:sim00007,0.0032071515,-0.098426618,0,1,1
r2.7:C:cn10:CCFeFeFeFeFeFeFeFe:sim00011,-0.0036714845,-0.072825946,0,1,1
r2.7:C:cn10:CCFeFeFeFeFeFeFeFe:sim00015,-0.014092072,-0.082093515,0,1,1
r2.7:C:cn10:CCFeFeFeFeFeFeFeFe:sim00019,-0.011707856,-0.073067948,0,1,1
r2.7:C:cn10:CCFeFeFeFeFeFeFeFe:sim00023,-0.019183807,-0.081140861,0,1,1
r2.7:C:cn10:CCFeFeFeFeFeFeFeFe:sim00027,-0.016680738,-0.078315943,0,1,1
r2.7:C:cn10:CCFeFeFeFeFeFeFeFe:sim00031,-0.015683804,-0.090190656,0,1,1
r2.7:C:cn10:CFeFeFeFeFeFeFeFeFe:sim00004,0.047372404,-0.039934982,0,1,1
r2.7:C:cn11:CCCCFeFeFeFeFeFeFe:sim00001,-0.086157031,-0.17645176,0,1,1
r2.7:C:cn11:CCCFeFeFeFeFeFeFeFe:sim00003,-0.041268375,-0.096705921,0,1,1
r2.7:C:cn11:CCFeFeFeFeFeFeFeFeFe:sim00002,-0.0019570158,-0.038111471,0,1,1
r2.7:C:cn5:FeFeFeFeFe:sim00001,-0.10859291,-0.055660225,0,1,1
r2.7:C:cn5:FeFeFeFeFe:sim00005,-0.10147785,-0.081290714,0,1,1
r2.7:C:cn6:CFeFeFeFeFe:sim00001,-0.076850139,-0.096055955,0,1,1
r2.7:C:cn6:CFeFeFeFeFe:sim00005,-0.087999821,-0.091858648,0,1,1
r2.7:C:cn6:CFeFeFeFeFe:sim00009,-0.078387678,-0.087740734,0,1,1
r2.7:C:cn6:CFeFeFeFeFe:sim00013,-0.11178787,-0.068646155,0,1,1
