rank,source,source_idx,n_effective_envs_in_structure,pass,new_gain,covered,uncovered,coverage_pct
1,large_file,4981,94,rare,61,61,12442,0.4878829081020555
2,large_file,19413,93,rare,55,116,12387,0.9277773334399744
3,large_file,19683,93,rare,52,168,12335,1.343677517395825
4,large_file,3126,93,rare,51,219,12284,1.7515796208909862
5,large_file,8749,93,rare,47,266,12237,2.1274894025433895
6,large_file,7694,91,rare,45,311,12192,2.487403023274414
7,large_file,8754,89,rare,43,354,12149,2.8313204830840597
8,large_file,1339,88,rare,42,396,12107,3.167239862433016
9,large_file,6291,91,rare,42,438,12065,3.5031592417819724
10,large_file,14749,91,rare,41,479,12024,3.8310805406702393
11,large_file,17546,94,rare,41,520,11983,4.159001839558506
12,large_file,8270,93,rare,40,560,11943,4.478925057986084
13,large_file,12140,90,rare,40,600,11903,4.79884827641366
14,large_file,4453,92,rare,39,639,11864,5.1107734143805486
15,large_file,5203,91,rare,39,678,11825,5.422698552347437
16,large_file,14057,89,rare,39,717,11786,5.734623690314325
17,large_file,1963,93,rare,38,755,11748,6.038550747820523
18,large_file,11889,95,rare,38,793,11710,6.3424778053267215
19,large_file,13210,88,rare,38,831,11672,6.64640486283292
20,large_file,17423,89,rare,38,869,11634,6.950331920339119
21,large_file,4254,90,rare,37,906,11597,7.246260897384627
22,large_file,4274,93,rare,37,943,11560,7.542189874430137
23,large_file,5801,91,rare,37,980,11523,7.838118851475646
24,large_file,4916,87,rare,36,1016,11487,8.126049748060465
25,large_file,13754,88,rare,36,1052,11451,8.413980644645285
26,large_file,3046,91,rare,35,1087,11416,8.693913460769416
27,large_file,11430,87,rare,35,1122,11381,8.973846276893546
28,large_file,11612,91,rare,35,1157,11346,9.253779093017675
29,large_file,14524,91,rare,35,1192,11311,9.533711909141806
30,large_file,19121,89,rare,35,1227,11276,9.813644725265936
31,large_file,19663,90,rare,35,1262,11241,10.093577541390067
32,large_file,2357,90,rare,34,1296,11207,10.365512277053508
33,large_file,10584,86,rare,34,1330,11173,10.637447012716947
34,large_file,11401,92,rare,34,1364,11139,10.909381748380389
35,large_file,12470,88,rare,34,1398,11105,11.18131648404383
36,large_file,1810,92,rare,33,1431,11072,11.445253139246581
37,large_file,5004,89,rare,33,1464,11039,11.709189794449332
38,large_file,7197,89,rare,33,1497,11006,11.973126449652083
39,large_file,1738,88,rare,32,1529,10974,12.229065024394146
40,large_file,3594,91,rare,32,1561,10942,12.485003599136208
41,large_file,10984,90,rare,32,1593,10910,12.740942173878269
42,large_file,17501,91,rare,32,1625,10878,12.996880748620331
43,large_file,6344,90,rare,31,1656,10847,13.244821242901704
44,large_file,6539,88,rare,31,1687,10816,13.492761737183075
45,large_file,8595,89,rare,31,1718,10785,13.740702231464448
46,large_file,9124,89,rare,31,1749,10754,13.988642725745821
47,large_file,11804,89,rare,31,1780,10723,14.236583220027194
48,large_file,13815,90,rare,31,1811,10692,14.484523714308565
49,large_file,15054,95,rare,31,1842,10661,14.732464208589938
50,large_file,18329,87,rare,31,1873,10630,14.980404702871311
51,large_file,4256,88,rare,30,1903,10600,15.220347116691993
52,large_file,8413,84,rare,30,1933,10570,15.460289530512677
53,large_file,14361,88,rare,30,1963,10540,15.70023194433336
54,large_file,16533,88,rare,30,1993,10510,15.940174358154042
55,large_file,18002,90,rare,30,2023,10480,16.180116771974728
56,large_file,18105,90,rare,30,2053,10450,16.42005918579541
57,large_file,18106,91,rare,30,2083,10420,16.66000159961609
58,large_file,19427,88,rare,30,2113,10390,16.899944013436777
59,large_file,3935,89,rare,29,2142,10361,17.131888346796767
60,large_file,7168,84,rare,29,2171,10332,17.36383268015676
61,large_file,7495,86,rare,29,2200,10303,17.595777013516756
62,large_file,10314,86,rare,29,2229,10274,17.82772134687675
63,large_file,18728,88,rare,29,2258,10245,18.059665680236744
64,large_file,3559,91,rare,28,2286,10217,18.283611933136047
65,large_file,7427,89,rare,28,2314,10189,18.50755818603535
66,large_file,10420,86,rare,28,2342,10161,18.731504438934657
67,large_file,16205,89,rare,28,2370,10133,18.95545069183396
68,large_file,19365,92,rare,28,2398,10105,19.179396944733263
69,large_file,4613,90,rare,27,2425,10078,19.39534511717188
70,large_file,12403,90,rare,27,2452,10051,19.611293289610494
71,large_file,17200,92,rare,27,2479,10024,19.82724146204911
72,large_file,17410,90,rare,27,2506,9997,20.043189634487725
73,large_file,5226,85,rare,26,2532,9971,20.25113972646565
74,large_file,6901,86,rare,26,2558,9945,20.459089818443573
75,large_file,7344,93,rare,26,2584,9919,20.667039910421497
76,large_file,9185,89,rare,26,2610,9893,20.874990002399425
77,large_file,16136,85,rare,26,2636,9867,21.08294009437735
78,large_file,16713,89,rare,26,2662,9841,21.290890186355274
79,large_file,6187,93,rare,25,2687,9816,21.49084219787251
80,large_file,10069,89,rare,25,2712,9791,21.690794209389747
81,large_file,14859,87,rare,25,2737,9766,21.890746220906983
82,large_file,14952,85,rare,25,2762,9741,22.090698232424216
83,large_file,18453,84,rare,25,2787,9716,22.290650243941453
84,large_file,782,86,rare,24,2811,9692,22.482604174998002
85,large_file,1242,88,rare,24,2835,9668,22.674558106054548
86,large_file,3546,88,rare,24,2859,9644,22.866512037111093
87,large_file,8392,90,rare,24,2883,9620,23.05846596816764
88,large_file,9341,91,rare,24,2907,9596,23.250419899224188
89,large_file,9945,92,rare,24,2931,9572,23.442373830280733
90,large_file,13442,86,rare,24,2955,9548,23.63432776133728
91,large_file,14152,83,rare,24,2979,9524,23.826281692393824
92,large_file,15594,74,rare,24,3003,9500,24.018235623450373
93,large_file,2447,87,rare,23,3026,9477,24.202191474046227
94,large_file,5295,85,rare,23,3049,9454,24.386147324642085
95,large_file,6146,84,rare,23,3072,9431,24.570103175237943
96,large_file,13058,94,rare,23,3095,9408,24.7540590258338
97,large_file,16894,88,rare,23,3118,9385,24.93801487642966
98,large_file,1165,89,rare,22,3140,9363,25.113972646564825
99,large_file,1723,94,rare,22,3162,9341,25.289930416699992
100,large_file,2087,89,rare,22,3184,9319,25.46588818683516
101,large_file,2388,87,rare,22,3206,9297,25.64184595697033
102,large_file,3184,87,rare,22,3228,9275,25.817803727105495
103,large_file,4992,82,rare,22,3250,9253,25.993761497240662
104,large_file,6121,91,rare,22,3272,9231,26.16971926737583
105,large_file,6871,88,rare,22,3294,9209,26.345677037511
106,large_file,13458,76,rare,22,3316,9187,26.521634807646166
107,large_file,15719,112,rare,22,3338,9165,26.697592577781332
108,large_file,17283,126,rare,22,3360,9143,26.8735503479165
109,large_file,18030,85,rare,22,3382,9121,27.04950811805167
110,large_file,18258,88,rare,22,3404,9099,27.225465888186836
111,large_file,18439,90,rare,22,3426,9077,27.401423658322003
112,large_file,18736,89,rare,22,3448,9055,27.57738142845717
113,large_file,19926,89,rare,22,3470,9033,27.75333919859234
114,large_file,5114,82,rare,21,3491,9012,27.921298888266815
115,large_file,5333,89,rare,21,3512,8991,28.089258577941294
116,large_file,7996,87,rare,21,3533,8970,28.257218267615773
117,large_file,9550,88,rare,21,3554,8949,28.425177957290252
118,large_file,9622,101,rare,21,3575,8928,28.593137646964728
119,large_file,10521,91,rare,21,3596,8907,28.761097336639207
120,large_file,11059,91,rare,21,3617,8886,28.929057026313686
121,large_file,11568,88,rare,21,3638,8865,29.09701671598816
