rank,source,source_idx,n_envs
1,probe,1478,235
2,probe,2091,181
3,phase2,11015,131
4,phase2,10379,129
5,phase2,5947,126
6,phase2,2106,123
7,phase2,2365,113
8,probe,335,125
9,phase2,1324,126
10,probe,583,110
11,phase2,17302,109
12,phase2,11415,110
13,phase2,15054,95
14,phase2,17242,127
15,phase2,11785,128
16,phase2,4981,94
17,probe,421,111
18,phase2,14147,109
19,phase2,19413,93
20,probe,214,126
21,probe,418,120
22,phase2,19683,93
23,probe,3,92
24,probe,9,94
25,phase2,3221,106
26,phase2,8749,93
27,probe,8,91
28,phase2,8150,109
29,phase2,3184,87
30,probe,10,92
31,probe,21,92
32,phase2,5203,91
33,phase2,11106,108
34,probe,0,90
35,probe,818,108
36,probe,72,90
37,probe,299,92
38,probe,526,128
39,phase2,15750,107
40,phase2,18105,90
41,probe,1,93
42,probe,268,102
43,phase2,17750,110
44,phase2,19365,92
45,probe,47,88
46,probe,411,91
47,probe,11,92
48,probe,15,90
49,probe,60,89
50,probe,830,107
51,phase2,6849,108
52,probe,40,94
53,phase2,1760,110
54,phase2,8120,115
55,probe,46,90
56,probe,51,90
57,phase2,9920,112
58,probe,24,91
59,probe,84,87
60,probe,198,90
61,probe,575,110
62,probe,4,90
63,probe,18,93
64,probe,19,88
65,phase2,3126,93
66,phase2,11401,92
67,phase2,16575,107
68,probe,211,88
69,probe,1003,88
70,probe,1569,119
71,phase2,8392,90
72,phase2,8789,110
73,phase2,17423,89
74,probe,240,115
75,probe,242,105
76,phase2,8428,111
77,probe,12,88
78,probe,29,89
79,probe,103,88
80,probe,234,86
81,probe,241,111
82,probe,516,88
83,phase2,10912,94
84,probe,14,88
85,probe,33,88
86,probe,35,92
87,probe,124,89
88,phase2,4916,87
89,probe,5,89
90,probe,22,90
91,probe,192,109
92,probe,245,96
93,phase2,9124,89
94,probe,20,87
95,probe,465,112
96,probe,697,88
97,probe,1872,107
98,phase2,4613,90
99,phase2,8270,93
100,phase2,13058,94
101,probe,37,89
102,probe,102,90
103,probe,117,90
104,probe,814,109
105,phase2,9896,108
106,phase2,10337,112
107,phase2,12140,90
108,probe,7,89
109,probe,25,89
110,probe,63,85
111,probe,68,86
112,probe,73,88
113,probe,93,95
114,probe,94,88
115,probe,336,109
116,phase2,4256,88
117,probe,13,93
118,probe,23,90
119,probe,36,91
120,probe,43,90
121,probe,139,85
122,probe,576,108
123,phase2,1339,88
124,phase2,7694,91
125,probe,6,92
126,probe,141,85
127,probe,267,107
128,probe,428,92
129,probe,446,87
130,probe,812,110
131,probe,1032,108
132,phase2,4254,90
133,probe,42,90
134,probe,44,84
135,probe,45,88
136,probe,82,87
137,probe,120,88
138,probe,121,121
139,probe,1165,107
140,phase2,18002,90
141,probe,26,91
142,probe,28,92
143,probe,55,89
144,probe,65,85
145,probe,113,88
146,probe,297,86
147,probe,535,96
148,probe,1065,93
149,phase2,3046,91
150,phase2,8152,106
151,phase2,17546,94
152,probe,34,87
153,probe,39,93
154,probe,137,90
155,probe,270,110
156,probe,657,106
157,probe,1186,107
158,phase2,8754,89
159,probe,81,82
160,probe,95,88
161,probe,306,91
162,probe,427,96
163,probe,930,105
164,phase2,1269,87
165,phase2,6181,109
166,phase2,7197,89
167,phase2,14749,91
168,probe,38,87
169,probe,57,90
170,probe,61,87
171,probe,69,80
172,probe,75,81
173,probe,80,93
174,probe,101,89
175,probe,169,83
176,probe,179,82
177,probe,205,85
178,probe,263,88
179,probe,1067,97
180,probe,1269,83
181,probe,1969,92
182,phase2,15719,112
183,phase2,16533,88
184,probe,17,90
185,probe,30,87
186,probe,59,87
187,probe,78,80
188,probe,174,88
189,probe,402,85
190,probe,649,112
191,probe,706,89
192,probe,813,109
193,probe,836,94
194,probe,1876,116
195,phase2,3559,91
196,phase2,5004,89
197,phase2,19121,89
198,probe,89,87
199,probe,167,90
200,probe,187,86
201,probe,220,97
202,probe,247,78
203,probe,314,77
204,probe,362,85
205,probe,590,90
206,probe,2148,82
207,phase2,5141,110
208,probe,48,87
209,probe,194,107
210,probe,249,77
211,probe,307,77
212,probe,319,80
213,probe,499,80
214,probe,754,95
215,probe,1047,113
216,probe,1367,102
217,probe,3013,107
218,phase2,755,110
219,phase2,1165,89
220,phase2,5801,91
221,phase2,6187,93
222,phase2,6437,89
223,phase2,14057,89
224,probe,27,86
225,probe,32,89
226,probe,50,90
227,probe,56,85
228,probe,86,90
229,probe,123,85
230,probe,173,88
231,probe,178,84
232,probe,455,91
233,probe,646,119
234,probe,716,85
235,probe,924,109
236,probe,1411,91
237,probe,1613,107
238,probe,3237,92
239,probe,3381,76
240,phase2,4274,93
241,phase2,18728,88
242,probe,41,85
243,probe,74,89
244,probe,106,88
245,probe,115,89
246,probe,129,87
247,probe,136,84
248,probe,146,83
249,probe,161,88
250,probe,195,82
251,probe,201,76
252,probe,208,93
253,probe,221,95
254,probe,251,77
255,probe,380,76
256,probe,840,92
257,probe,842,92
258,probe,1892,110
259,probe,1901,81
260,probe,2351,108
261,probe,91,91
262,probe,104,88
263,probe,156,80
264,probe,742,119
265,probe,936,105
266,probe,1085,78
267,probe,1230,94
268,probe,1352,111
269,probe,1648,92
270,probe,1707,80
271,probe,3279,95
272,probe,3350,78
273,phase2,1242,88
274,phase2,1730,84
275,phase2,7344,93
276,phase2,11430,87
277,phase2,12470,88
278,probe,52,88
279,probe,53,91
280,probe,70,90
281,probe,85,83
282,probe,96,88
283,probe,98,89
284,probe,151,92
285,probe,177,91
286,probe,469,106
287,probe,1070,94
288,probe,1091,76
289,probe,1438,76
290,probe,3007,107
291,phase2,4453,92
292,phase2,11889,95
293,probe,97,87
294,probe,155,79
295,probe,199,75
296,probe,202,80
297,probe,222,80
298,probe,237,90
299,probe,274,96
300,probe,303,124
301,probe,378,92
